,Wavelength (nm),Voltage (V),,,,,,V Error
,600,0.6335,0.6335,0.6335,0.6635,0.6335,0.6335,0.0001
,590,0.6753,0.6754,0.6754,0.6754,0.6755,0.6755,0.0001
,580,0.7153,0.7153,0.7153,0.7154,0.7154,0.7154,0.0001
,570,0.7522,0.7522,0.7523,0.7523,0.7523,0.7524,0.0001
,560,0.7854,0.7854,0.7855,0.7855,0.7855,0.7855,0.0001
,550,0.8273,0.8273,0.8274,0.8275,0.8275,0.8275,0.0001
,540,0.8688,0.8689,0.8689,0.8690,0.8690,0.8690,0.0001
,530,0.9123,0.9124,0.9125,0.9125,0.9126,0.9125,0.0001
,520,0.9542,0.9543,0.9543,0.9543,0.9543,0.9544,0.0001
,510,1.0039,1.0039,1.0041,1.0042,1.0043,1.0043,0.0001
,500,1.0449,1.0450,1.0450,1.0451,1.0452,1.0453,0.0002
,490,1.0884,1.0884,1.0884,1.0884,1.0885,1.0885,0.0002
,480,1.1378,1.1377,1.1378,1.1379,1.1380,1.1380,0.0002
,470,1.1852,1.1852,1.1853,1.1853,1.1853,1.1853,0.0002
,460,1.2376,1.2369,1.2374,1.2375,1.2374,1.2374,0.0005
,450,1.2888,1.2889,1.2888,1.2889,1.2888,1.2889,0.0005
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
